CNTRY_NAME,LAT,LONG,Vol_2008,Vol_2009,Vol_2010,Vol_2011,Vol_2012,Vol_2013,Vol_2014,Vol_2015,Vol_2016,Vol_2017,Vol_2018,Vol_Total,Perc_2008,Perc_2009,Perc_2010,Perc_2011,Perc_2012,Perc_2013,Perc_2014,Perc_2015,Perc_2016,Perc_2017,Perc_2018,Total_Perc
Thailand,15,100,0,4,1,50,21,54,32,27,46,29,49,312,0.00,0.06,0.01,0.55,0.23,0.71,0.33,0.27,0.46,0.23,0.47,0.31
Trinidad and Tobago,11,-61,0,0,0,12,12,0,0,0,0,0,0,24,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tunisia,34,9,3,0,7,7,0,38,39,7,13,72,46,232,0.04,0.00,0.09,0.08,0.00,0.50,0.41,0.07,0.13,0.58,0.44,0.23
Turkey,39.059012,34.911546,49,21,11,335,1009,363,1110,301,185,146,293,3820,0.72,0.30,0.14,3.71,11.10,4.79,11.56,3.03,1.86,1.17,2.79,3.82
Uganda,2,33,0,2,0,0,0,0,0,4,0,16,0,22,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.13,0.00,0.02
Ukraine,49,32,0,0,0,0,0,0,0,4,5,0,12,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.11,0.02
United Arab Emirates,24,54,677,394,153,853,953,1074,542,812,660,685,799,7600,9.96,5.70,1.89,9.45,10.49,14.19,5.65,8.18,6.63,5.49,7.60,7.60
United Kingdom,54,-4,419,270,311,201,390,331,191,373,217,705,194,3602,6.16,3.91,3.85,2.23,4.29,4.37,1.99,3.76,2.18,5.65,1.85,3.60
Uzbekistan,41.707542,63.84911,0,0,0,0,0,0,0,35,0,0,2,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.02,0.04
Venezuela,8,-66,0,0,0,0,0,0,0,6,0,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01
Vietnam,16.166667,107.833333,0,0,0,0,0,0,0,0,0,54,0,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.05
Yemen,15.5,47.5,5,0,0,12,0,4,0,11,0,0,0,32,0.07,0.00,0.00,0.13,0.00,0.05,0.00,0.11,0.00,0.00,0.00,0.03
